Time,x,y,orientation,tau_y,tau_z
3.8200000000000003,1.6846637247478098,-1.098297017501191,-2.153531090939742,-5.444733464088358e-06,-0.001662403723123873
3.83,1.673596741853828,-1.115088474747492,-2.1635308961225066,1.8638526277925394e-06,-0.0016252739807320893
3.84,1.662362403856061,-1.1317684265192196,-2.1735307428653643,8.62736810880449e-06,-0.0015692495458630162
3.85,1.650961833345335,-1.1483352045783157,-2.1835306302400714,1.4794993852262905e-05,-0.0014964182470933451
3.86,1.6393961695677735,-1.1647871519794228,-2.1935305568460173,2.0327428451594187e-05,-0.001408941973757294
3.87,1.627666568319742,-1.1811226232411678,-2.2035305208624196,2.519657797961372e-05,-0.0013090227621859185
3.88,1.6157742018398755,-1.1973399845163375,-2.213530520102371,2.9385143340832087e-05,-0.0011988707631083173
3.89,1.6037202586981791,-1.213437613760836,-2.2235305520678916,3.28860731091396e-05,-0.0010806743402369534
3.9,1.591505943682222,-1.2294139009013143,-2.2335306140051814,3.570192865787192e-05,-0.000956572663746158
3.91,1.5791324776804605,-1.2452672480013758,-2.2435307029593297,3.7844170108769504e-05,-0.0008286308368354867
3.92,1.5666010975627394,-1.2609960694262665,-2.2535308158277942,3.933236598641088e-05,-0.0006988178089528674
3.93,1.5539130560580425,-1.2765987920059712,-2.2635309494120297,4.019336219407421e-05,-0.0005689871258596213
3.94,1.541069621629569,-1.2920738551966426,-2.2735311004667107,4.0460398009756204e-05,-0.0004408605840389157
3.95,1.5280720783472284,-1.3074197112403063,-2.2835312657460696,4.0172227855350684e-05,-0.0003160148112080208
3.96,1.5149217257576535,-1.3226348253227878,-2.2935314420469433,3.9372199278631115e-05,-0.00019587067479065468
3.97,1.5016198787518373,-1.3377176757298253,-2.303531626248187,3.810735531573073e-05,-8.168557741328186e-05
3.98,1.4881678674305088,-1.352666754001336,-2.313531815346198,3.642755559418731e-05,2.5451593721470545e-05
3.99,1.4745670369673591,-1.3674805650838169,-2.323532006486348,3.438460565163837e-05,0.00012462287424241936
4.0,1.4608187474702394,-1.382157627480869,-2.3335321969902085,3.20314345270134e-05,0.00021508123904112608
4.01,1.4469243738404445,-1.3966964734018414,-2.343532384378497,2.9421321601219574e-05,0.0002962483121038417
4.0200000000000005,1.4328853056301976,-1.4110956489086037,-2.3535325663897546,2.6607150749313746e-05,0.00036771003175672945
4.03,1.418702946898452,-1.4253537140604553,-2.3635327409948044,2.3640745094866134e-05,0.0004292104445191569
4.04,1.4043787160651136,-1.439469243057193,-2.373532906407103,2.057225763074655e-05,0.0004806438171911509
4.05,1.3899140457637897,-1.4534408243803594,-2.3835330610891408,1.7449624234444627e-05,0.0005220453647147849
4.0600000000000005,1.3753103826931625,-1.4672670609327028,-2.393533203755083,1.4318087027120896e-05,0.0005535807381384927
4.07,1.3605691874670727,-1.480946570175877,-2.4035333333698916,1.1219775553072964e-05,0.0005755345342528528
4.08,1.345691934463401,-1.4944779842664189,-2.4135334491451816,8.193389433586162e-06,0.0005882980640414814
4.09,1.3306801116718188,-1.5078599501900365,-2.4235335505321083,5.273911618530747e-06,0.0005923565669085917
4.1,1.315535220540475,-1.5210911298942478,-2.4335336372115832,2.492422712663256e-06,0.0005882760896191996
4.11,1.3002587758216788,-1.5341702004194036,-2.443533709082144,-1.2403593707688287e-07,0.0005766902417825293
4.12,1.2848523054166265,-1.5470958540281334,-2.4535337662458025,-2.5525484836919077e-06,0.0005582869646580946
4.13,1.269317350219214,-1.5598667983332464,-2.4635338089922048,-4.774313877575764e-06,0.0005337955686357532
4.14,1.2536554639589712,-1.572481756424119,-2.473533837781433,-6.774605276760326e-06,0.0005039741193257896
4.15,1.2378682130431404,-1.5849394669916015,-2.483533853225772,-8.542684737378181e-06,0.00046959733124296577
4.16,1.2219571763979225,-1.5972386844514672,-2.493533856070758,-1.0071659639621089e-05,0.0004314451307330103
4.17,1.205923945308899,-1.6093781790664266,-2.503533847175811,-1.1358290796792403e-05,0.00039029193255046835
4.18,1.1897701232606401,-1.621356737066726,-2.513533827494735,-1.240278413305873e-05,0.0003468967881836704
4.19,1.1734973257754957,-1.6331731607693438,-2.5235337980563615,-1.3208540261544499e-05,0.00030199441614087164
4.2,1.15710718025157,-1.6448262686957962,-2.533533759945568,-1.3781880969787608e-05,0.0002562871856959248
4.21,1.140601325799868,-1.656314895688554,-2.5435337142849144,-1.4131758163671293e-05,0.00021043812381549287
4.22,1.1239814130806045,-1.6676378930260767,-2.553533662217081,-1.4269446646508754e-05,0.00016506492750423263
4.23,1.1072491041386618,-1.6787941285364556,-2.5635336048882946,-1.4208229925927185e-05,0.00012073500821330185
4.24,1.0904060722381785,-1.6897824867096625,-2.5735335434328848,-1.3963085265800146e-05,7.796154077865936e-05
4.25,1.0734540016962533,-1.700601868808389,-2.5835334789590996,-1.355035474936983e-05,3.720054708722387e-05
4.26,1.0563945877157448,-1.711251192977465,-2.593533412536276,-1.2987442632450552e-05,-1.151094775053707e-06
4.2700000000000005,1.03922953621715,-1.721729394351833,-2.603533345183439,-1.2292500350952196e-05,-3.675670479097448e-05
4.28,1.0219605636695424,-1.7320354251630623,-2.613533277859379,-1.1484142126150232e-05,-6.933995422286898e-05
4.29,1.0045893969205533,-1.7421682548443724,-2.623533211454237,-1.0581153997435422e-05,-9.868424832859546e-05
4.3,0.9871177730253807,-1.752126870134144,-2.6335331467825935,-9.60223918156089e-06,-0.0001246313430236512
4.3100000000000005,0.9695474390748114,-1.761910275177885,-2.6435330845780562,-8.565776887792254e-06,-0.00014707927231683016
4.32,0.951880152022245,-1.7715174916286245,-2.6535330254893026,-7.489603381927168e-06,-0.00016597970464715672
4.33,0.9341176785097098,-1.7809475587456993,-2.6635329700775308,-6.390805751266271e-06,-0.0001813347640933216
4.34,0.9162617946928653,-1.7901995334919045,-2.6735329188152517,-5.2855548382524375e-06,-0.00019319340571755106
4.3500000000000005,0.8983142860649843,-1.7992724906289739,-2.683532872086342,-4.188955049500009e-06,-0.00020164743563810816
4.36,0.8802769472799166,-1.8081655228113567,-2.6935328301872667,-3.1149264057006576e-06,-0.00020682724866105673
4.37,0.8621515819740336,-1.8168777406782608,-2.703532793329378,-2.0760932972763158e-06,-0.00020889732255113813
4.38,0.8439400025871613,-1.82540827294393,-2.71353276164217,-1.0837175157263346e-06,-0.00020805166034421063
4.39,0.8256440301825057,-1.8337562664861229,-2.7235327351773955,-1.4763941180717666e-07,-0.00020450907456392997
4.4,0.8072654942655848,-1.8419208864327683,-2.7335327139139123,7.237450638797327e-07,-0.00019850854826586328
4.41,0.7888062326021785,-1.8499013162467666,-2.743532697763156,1.5234915551332051e-06,-0.00019030461562152823
4.42,0.7702680910353124,-1.857696757808912,-2.753532686575113,2.2461031257137165e-06,-0.00018016288327871166
4.43,0.7516529233012947,-1.865306431498913,-2.763532680144686,2.887497529968641e-06,-0.00016835572891338302
4.44,0.7329625908448268,-1.8727295762744862,-2.7735326782183307,3.4449569863426177e-06,-0.00015515821694123133
4.45,0.714198962633209,-1.8799654497485077,-2.7835326805008687,3.917069735237533e-06,-0.0001408442340533611
4.46,0.6953639149696675,-1.887013328264201,-2.793532686662362,4.30365787451592e-06,-0.00012568296980930427
